Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Part Number,Sheetpath,Digikey P/N,Manufacturer,Function
34,Resistor,R,R301,56.2k,R_0603,1,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,RMCF0603FT56K2,/Power/,RMCF0603FT56K2CT-ND,Stackpole,
35,"Resistor, small symbol",R_Small,R217 R219,1M,R_0603,2,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,RMCF0603JT1M00,/External Interface/,RMCF0603JT1M00CT-ND,Stackpole,
36,"Push button switch, generic, two pins",SW_Push,SW1 SW2,SW_SPST,PTS125,2,https://dznh3ojzb2azq.cloudfront.net/products/Tactile/PTS125/documents/datasheet.pdf,PTS125SK43-2 LFS,/External Interface/,CKN9139-ND,C&K,
37,6 Channel Schmitt Trigger Inverter TSSOP-14,CD40106BPWR,U201,CD40106BPWR,TSSOP-14_4.4x5mm_Pitch0.65mm,1,https://www.ti.com/lit/ds/symlink/cd40106b.pdf,CD40106BPWR,/External Interface/,296-14082-1-ND,TI,
38,1x3:8 CMOS 3 to 8 line NonInverting Decoder,74HC238,U202,CD74HC238PWR,TSSOP-16_4.4x5mm_Pitch0.65mm,1,https://www.ti.com/lit/ds/symlink/cd74hc138.pdf,CD74HC238PWR,/External Interface/,296-13814-1-ND,TI,
39,1A Low Dropout regulator,LM2940,U302,LM2940IMP-5.0/NOPB,SOT-223-3_TabPin2,1,https://www.ti.com/lit/ds/symlink/lp5907-q1.pdf,LM2940IMP-5.0/NOPB,/Power/,LM2940IMP-5.0/NOPBCT-ND,TI,
40,"250-mA Ultra-Low-Noise Low-IQ LDO, 3.3V, SOT-23",LP5907MFX-3.3,U303 U304 U305,LP5907MFX-3.3,SOT-23-5,3,https://www.ti.com/lit/ds/symlink/lp5907-q1.pdf,LP5907MFX-3.3/NOPB,/Power/,296-38557-1-ND,TI,
41,CAN Controller with Integrated Transceiver,MCP25625,U401,MCP25625,SSOP-28_5.3x10.2mm_Pitch0.65mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/MCP25625-CAN-Controller-Data-Sheet-20005282C.pdf,MCP25625T-E/SS,/CAN/,MCP25625T-E/SSCT-ND,Microchip,
42,,SAMD21G18A-AU,U101,SAMD21G18A-AU,TQFP-48_7x7mm_Pitch0.5mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/SAM_D21_DA1_Family_DataSheet_DS40001882F.pdf,ATSAMD21G18A-AU,/,ATSAMD21G18A-AU-ND,Microchip,
43,16-Bit Line Driver Shift Register with Diagnostics,TLC6C5816,U502 U503,TLC6C5816,TLC6C5816,2,http://www.ti.com/lit/ds/symlink/tlc6c5816-q1.pdf,TLC6C5816QPWPRQ1,/Display/,296-51674-1-ND,TI,
44,TLC6C598 Shift Register,TLC6C598,U501,TLC6C598,TSSOP-16_4.4x5mm_Pitch0.65mm,1,http://www.ti.com/lit/ds/symlink/tlc6c598.pdf,TLC6C598QPWRQ1,/Display/,296-36199-1-ND,TI,
45,"4.5-V to 17-V Input, 4-A Synchronous Step-Down Voltage Regulator",TPS564201,U301,TPS564201,SOT-23-6,1,https://www.ti.com/lit/ds/symlink/tps564201.pdf,TPS564201DDCR,/Power/,296-47373-1-ND,TI,
46,"Four pin crystal, GND on pins 2 and 4",Crystal_GND24,Y102 Y401,16MHz,Crystal_SMD_5032-4pin_5.0x3.2mm,2,https://www.mouser.com/datasheet/2/122/ecx_53b-1479911.pdf,ECS-160-8-30B-CKM,/,XC1839CT-ND,ECS,
47,"Two pin crystal, small symbol",Crystal_Small,Y101,32.768kHz,MS1V-T1K,1,https://www.mouser.com/datasheet/2/530/MS1V-T1K-1085690.pdf,MS1V-T1K-32.768kHz,/,2195-MS1VT1K32.768KHZ12.5PF20PPMTAQCAUCT-ND,Micro Crystal Switzerland,
